# Bitonicort, 2xIntel Xeon E5620@2.40GHz, max 16 threads, times are in 
#econds, threads are given as well
1		2048		0.000919
2					0.001118
4					0.000832
8					0.000980
12					0.000985
16					0.001404


1		4096		0.002095
2					0.001689
4					0.001203
8					0.001214
12					0.001286
16					0.001247


1		8192		0.004650
2					0.002961
4					0.001998
8					0.001562
12					0.001920
16					0.001911


1		16384		0.007049
2					0.005759
4					0.003469
8					0.002421
12					0.002700
16					0.002156


1		32768		0.014338
2					0.009720
4					0.005982
8					0.002764
12					0.002999
16					0.002872


1		65536		0.034478
2					0.017158
4					0.009648
8					0.004979
12					0.005178
16					0.004412


1		131072		0.067940
2					0.032717
4					0.016573
8					0.009434
12					0.009928
16					0.008101


1		262144		0.139964
2					0.069942
4					0.034754
8					0.019112
12					0.020380
16					0.015953


1		524288		0.303134
2					0.146392
4					0.080696
8					0.043992
12					0.045719
16					0.036644


1		1048576		0.650661
2					0.318842
4					0.159733
8					0.085437
12					0.091383
16					0.073155


1		2097152		1.395724
2					0.664124
4					0.339059
8					0.181854
12					0.193692
16					0.150551


1		4194304		3.031016
2					1.423784
4					0.718936
8					0.387657
12					0.411246
16					0.316366


1		8388608		6.507999
2					3.394548
4					1.777674
8					0.903338
12					0.914031
16					0.752232


1		16777216	13.900858
2					6.877385
4					3.538668
8					2.075456
12					2.131999
16					1.858755


1		33554432	29.719711
2					14.644165
4					7.524611
8					4.432431
12					4.566262
16					3.948966


1		67108864	62.873045
2					31.389253
4					16.018441
8					9.455444
12					9.884382
16					8.406842


1		134217728	132.664721
2					66.268221
4					34.374522
8					20.084713
12					20.752250
16					19.734096


1		268435456	301.081461
2					140.583342
4					72.650143
8					42.679064
12					44.190962
16					40.095999


1		536870912	595.312851
2					299.856935
4					153.840173
8					90.999820
12					93.891452
16					83.899650
