# Bitonicort, 2xIntel Xeon X5680@3.33GHz, time in seconds, array size 
# given
1		2048		0.000336
2					0.002067
4					0.002090
8					0.008362
12					0.004945
16					0.014517
20					0.233512
24					0.216542


1		4096		0.000747
2					0.002325
4					0.002460
8					0.013893
12					0.014714
16					0.007401
20					0.212873
24					0.230506


1		8192		0.001694
2					0.002729
4					0.002529
8					0.008832
12					0.013396
16					0.010484
20					0.223413
24					0.237117


1		16384		0.003708
2					0.003906
4					0.003083
8					0.009845
12					0.009580
16					0.014217
20					0.102835
24					0.259256


1		32768		0.008166
2					0.006295
4					0.004359
8					0.007812
12					0.006114
16					0.006690
20					0.013786
24					0.219762


1		65536		0.017789
2					0.011204
4					0.006946
8					0.013839
12					0.018344
16					0.019645
20					0.011265
24					0.243411


1		131072		0.038599
2					0.022082
4					0.012445
8					0.015329
12					0.019556
16					0.050075
20					0.044792
24					0.239791


1		262144		0.083161
2					0.045375
4					0.024367
8					0.028022
12					0.020176
16					0.026427
20					0.247108
24					0.254377


1		524288		0.178160
2					0.094773
4					0.049630
8					0.044697
12					0.049612
16					0.035143
20					0.038962
24					0.266259


1		1048576		0.381799
2					0.200412
4					0.102676
8					0.069594
12					0.062317
16					0.064425
20					0.040076
24					0.297060


1		2097152		0.816271
2					0.425372
4					0.216207
8					0.125185
12					0.087353
16					0.094836
20					0.350450
24					0.355758


1		4194304		1.809548
2					0.910141
4					0.487627
8					0.297724
12					0.183769
16					0.399774
20					0.465864
24					0.455106


1		8388608		3.885885
2					2.074454
4					1.087363
8					0.653269
12					0.697535
16					0.600692
20					0.618805
24					0.768016


1		16777216	8.270881
2					4.465674
4					2.409679
8					1.604782
12					1.996839
16					1.715124
20					1.592597
24					2.657846


1		33554432	17.567884
2					9.498393
4					5.124943
8					3.376700
12					3.585685
16					3.650820
20					3.648064
24					4.847170


1		67108864	37.257261
2					20.156190
4					10.911004
8					7.224563
12					7.580333
16					7.172574
20					7.306469
24					11.502986


1		134217728	79.131005
2					42.785304
4					23.177221
8					15.095556
12					15.952340
16					16.153899
20					15.397376
24					21.450718


1		268435456	167.620647
2					90.623911
4					49.288681
8					32.573657
12					32.859447
16					34.684300
20					33.232004
24					32.887036


1		536870912	366.719239
2					191.661941
4					104.146298
8					69.502257
12					69.496678
16					74.003480
20					72.582531
24					70.069421
